filename,sentnolist,amp_pos,amp_neg,neg_pos,neg_neg,bad_pos,bad_neg,good_pos,good_neg,LMpositivesent,LMnegtivesent,positive_perf,negative_perf,verbose_good,verbose_bad,total_sent_cnt,sentlen
none,79,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,45
none,80,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,18
none,81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,17
none,82,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,19
none,83,0,0,0,0,0,0,0,0,0,11,0,0,1,10,1,177
none,84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,60
none,85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25
none,86,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,17
none,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,56
none,88,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,9
none,89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
none,90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,46
none,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
none,92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
none,93,0,0,0,0,0,0,0,0,0,2,0,0,0,2,1,54
none,94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,37
none,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,15
none,96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
none,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,26
none,98,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,18
none,99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,18
none,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20
none,101,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,55
none,102,0,0,0,0,0,0,0,0,2,5,0,0,3,4,1,163
none,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,19
none,104,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12
example_input/20-1997mda.txt,1,0,0,0,0,0,0,0,0,0,4,0,0,0,4,1,109
none,2,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,14
none,3,0,0,0,0,0,0,0,0,0,2,0,0,1,2,1,30
none,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10
none,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,31
none,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6
none,7,4,0,0,0,0,0,0,0,0,1,1,0,0,0,1,56
