abandon
abandoned
abandoning
abandonment
abandonments
abandons
abolish
abolished
abolishes
abolishing
abrogate
abrogated
abrogates
abrogating
abrogation
abrogations
absence
absences
curtail
curtailed
curtailing
curtailment
curtailments
curtails
cut
cutback
cuts
cutting
decline
declined
declines
declining
decrease
decreased
decreases
decreasing
deduct
deducting
deduction
deductions
deducts
delay
delayed
delaying
delays
depress
depressed
depresses
depressives
diminish
diminished
diminishes
diminishing
dip
dipping
dips
eliminate
eliminated
eliminates
eliminating
elimination
fallout
fallouts
falls
less 
lessen
lessening
lessens
little 
lower
lowering
lowers
minimal
minimals
minimization
minimizations
minimize
mininimizing
minmizes
mitigate
mitigated
mitigates
mitigating
mitigation
mitigations
recover
recoveries
recovers
recovery
reduce
reduced
reduces
reducing
reducing
reduction
reductions
refusal
refusals
refuse
refused
refuses
refusing
shorten
shortening
shortens
slow
slow move
slow moved
slow moves
slow moving
slowdown
slowdowns
slowed
slowest
slowests
slowing
slowly
slowness
slownesses
slows
small
smaller
tiny
minute
diminutive
limit
limits
low
lower
lowers
discontinue
discontinues
discontinued
negate
negated
negates
negating
